Авторы;Идентификатор автора(ов);Название;Год
Samatov T.R., Galatenko V.V., Senyavina N.V., Galatenko A.V., Shkurnikov M.Y., Tonevitskaya S.A., Sakharov D.A., Marx U., Ehrlich H., Schumacher U., Tonevitsky A.G.;"57192269741;6505796691;55901579300;13103846400;25931190700;56538680100;36841286800;35551319800;55722706100;7102933228;35584579500;";miRNA-mediated expression switch of cell adhesion genes driven by microcirculation in chip;2017
Eriksson K., Strimling P., Andersson P.A., Aveyard M., Brauer M., Gritskov V., Kiyonari T., Kuhlman D.M., Maitner A.T., Manesi Z., Molho C., Peperkoorn L.S., Rizwan M., Stivers A.W., Tian Q., Van Lange P.A.M., Vartanova I., Wu J., Yamagishi T.;"7202998395;14050864300;57117218900;7801529389;56182089500;57200148972;35588170800;6603809633;13805321900;57034110400;56518232500;55878012600;57203250317;57194494483;57204968486;7004460194;55364501300;56888043200;35431547100;";Cultural Universals and Cultural Differences in Meta-Norms about Peer Punishment;2017
Widmer M., Auderset S., Nichols J., Widmer P., Bickel B.;"57104773600;57200115674;7201486156;24282291300;6603214112;";NP recursion over time: Evidence from indo-European;2017
Van'Kov A.B., Kaysin B.D., Kukushkin I.V.;"36808278200;57191610008;7004353657;";Optical manifestation of the Stoner ferromagnetic transition in two-dimensional electron systems;2017
Gogoleva A.S., Sorokin P.S., Efendiev A.G.;"57200001708;56509164400;36008134200;";Problems and perspectives in research into the Quality of Work Life in organisational studies;2017
Fitzmaurice C., Akinyemiju T., Abera S., Ahmed M., Alam N., Alemayohu M.A., Allen C., Al-Raddadi R., Alvis-Guzman N., Amoako Y., Artaman A., Ayele T.A., Barac A., Bensenor I., Berhane A., Bhutta Z., Castillo-Rivas J., Chitheer A., Choi J.-Y., Cowie B., Dandona L., Dandona R., Dey S., Dicker D., Phuc H., Ekwueme D.U., Sayed Zaki M., Fischer F., Fürst T., Hancock J., Hay S.I., Hotez P., Jee S.H., Kasaeian A., Khader Y., Khang Y.-H., Anil Kumar G., Kutz M., Larson H., Lopez A., Lunevicius R., Malekzadeh R., McAlinden C., Meier T., Mendoza W., Mokdad A., Moradi-Lakeh M., Nagel G., Nguyen Q., Nguyen G., Ogbo F., Patton G., Pereira D.M., Pourmalek F., Qorbani M., Radfar A., Roshandel G., Salomon J.A., Sanabria J., Sartorius B., Satpathy M., Sawhney M., Sepanlou S., Shackelford K., Shore H., Sun J., Mengistu D.T., Topór-Madry R., Tran B., Ukwaja K.N., Vlassov V., Vollset S.E., Vos T., Wakayo T., Weiderpass E., Werdecker A., Yonemoto N., Younis M., Yu C., Zaidi Z., Zhu L., Murray C.J.L., Naghavi M., Global Burden of Disease Liver Cancer Collaboration;"57212628757;57202561503;57205180598;57207802317;57202437697;57203080528;57200170678;57219673720;57210741239;44960986700;57217223811;55431232600;55550748700;7004830338;57200410735;24342648300;57197814657;57191848415;57213021272;57202566182;7007017243;57203043697;25958052600;57196026676;57200242840;56664774000;57203666922;55508208800;57208431345;57202975481;7101875313;7004958298;16039275900;57195540738;55654192600;57198904674;57139550500;57195617315;57202559142;7401455668;57216165063;7005197760;35325278500;36678887300;57216905642;7004813962;35617421300;7103201623;57223642100;57191591002;57200737136;7102184358;57200690024;8309390500;24831040300;57194428768;14034446800;56745638600;7006262917;12788526800;56541895200;57217153893;36248136000;57202959163;57216595946;55547135892;57194776802;57211182892;41961645200;57202824584;57211633239;57196315778;57223885848;57205609717;57223665948;57208964895;57204947657;8549393000;57201889726;57197376721;55868337700;55481130700;57207906323;";The burden of primary liver cancer and underlying etiologies from 1990 to 2015 at the global, regional, and national level results from the global burden of disease study 2015;2017
Babenko M., Artamonov S.;"36928337300;57192975188;";Faster algorithms for half-integral T -Path packing;2017
Siemon I., Holevo A.S., Werner R.F.;"57199834039;6603727683;55551228700;";Unbounded Generators of Dynamical Semigroups;2017
Pimenova N.;"26034809900;";"""figure"", ""ground"" and Discourse Continuity in the Grammaticalization of the Gothic proto-Article [""figur"", ""grund"" und narrative Kontinuität in der Grammatikalisierung des gotischen Protoartikels]";2017
Musso P., Inguglia C., Lo Coco A., Albiero P., Berry J.W.;"55621673300;55621489400;6602357992;21734520100;7402634538;";Mediating and moderating processes in the relationship between multicultural ideology and attitudes towards immigrants in emerging adults;2017
Radina N.K., Koskina M.V.;"6505769104;57194204250;";Internal colonization and the phenomenon of Moscow-phobia in Russian Province regions [Unutarnja kolonizacija i fenomen fobije prema Moskvi u ruskoj provinciji];2017
Yeung D., Petrosian O.;"55944647600;56958436800;";Infinite Horizon Dynamic Games: A New Approach via Information Updating;2017
Kurakin D.;"36135586700;";The Sociology of Culture in the Soviet Union and Russia: The Missed Turn;2017
Vysogorets S., Nazarythev A., Tadjibaev A., Vysogorets I.;"57199325107;57199326138;6603244960;57199328234;";Development of express method for liquid dielectric quality control as a step to increase the reliability and effectiveness of oil-filled equipment exploitation;2017
Smirnova E.A.;"56027369800;";Using Corpora in EFL Classrooms: The Case Study of IELTS Preparation;2017
Demishev S.V., Krasnorussky V.N., Bogach A.V., Voronov V.V., Shitsevalova N.Y., Filipov V.B., Glushkov V.V., Sluchanko N.E.;"7006613161;12753792700;6602558397;7101822002;8656965400;23569120600;7004877305;7003907911;";Electron nematic effect induced by magnetic field in antiferroquadrupole phase of CeB6;2017
Zaytsev D., Belyaeva N.;"57191168805;55953796200;";Determinants of the policy impact of analytical communities in Russian regions: Cases of Karelia, Tatarstan and Saratov;2017
Baidakova N.A., Verbus V.A., Morozova E.E., Novikov A.V., Skorohodov E.V., Shaleev M.V., Yurasov D.V., Hombe A., Kurokawa Y., Usami N.;"26029368600;6507482945;57193014184;55943194700;36242411200;6507456922;24177726700;57192590855;57216306543;7102527088;";Selective etching of Si, SiGe, Ge and its usage for increasing the efficiency of silicon solar cells;2017
Motorin V.;"57159905300;";Enhancing the distance minimization methods of matrix updating within a homothetic paradigm;2017
Korneychuk B.;"56868676800;";International tax competition in the global economy;2017
Entin M.L., Entina E.G.;"56153503000;57190951726;";From liberal world order to normalization of international relations;2017
Sedov E.A., Riikonen K.-P., Arutyunov K.Y.;"57200071172;6507323506;6603572972;";Quantum size phenomena in single-crystalline bismuth nanostructures;2017
Makhlin Y.;"7003487723;";Entanglement Spectrum in Superfluid Phases of 3He;2017
Rastvortseva S.;"57188713270;";Agglomeration economics in regions: The case in the Russian industry;2017
Rampazzo Gambarato R., Carvalho Alzamora G., Peret Teixeira Tárcia L., Chevtchouk Jurno A.;"56039359500;57197825437;57197829611;57197833658;";2014 FIFA World Cup on the Brazilian Globo Network: A transmedia dynamics?;2017
Seliverstov S.V., Anfertyev V.A., Tretyakov I.V., Ozheredov I.A., Solyankin P.M., Revin L.S., Vaks V.L., Rusova A.A., Goltsman G.N., Shkurinov A.P.;"55266490000;56784351500;35730618600;6603337003;56096807900;37261925900;7005400467;57191358544;7006771637;6701704992;";Terahertz Heterodyne Receiver with an Electron-Heating Mixer and a Heterodyne Based on the Quantum-Cascade Laser;2017
Rutkevich A.M.;"36712571700;";Alexander Kojève: from revolution to empire;2017
Timonin S., Danilova I., Andreev E., Shkolnikov V.M.;"55058982600;57188698964;7005279598;7003725149;";Recent Mortality Trend Reversal in Russia: Are Regions Following the Same Tempo?;2017
Dmitriev T.;"57193870204;";Max Weber and Peter Struve on the Russian Revolution;2017
Dobrokhotov A.L.;"37041120500;";What the Russian symbolists heard in the “music of revolution”: philosophical implications;2017
Kalinin N., Shkolnikov M.;"56868369600;56358281700;";The Number π and a Summation by SL(2 , Z);2017
Ibragimova D., Guseva A.;"57193390641;35839522700;";Who Is in Charge of Family Finances in the Russian Two-Earner Households?;2017
Kashnitsky I., de Beer J., van Wissen L.;"56005450800;7103186360;6602199897;";Decomposition of regional convergence in population aging across Europe;2017
Yılmaz Ö.F., Pardalos P.M.;"56684241600;7005330875;";Minimizing average lead time for the coordinated scheduling problem in a two-stage supply chain with multiple customers and multiple manufacturers;2017
Muravyeva M.;"55962543500;";Emotional environments and legal spaces in early modern Russia;2017
Podobryaev A.;"57214607879;";Three routes to person indexicality;2017
Bykadorov I., Kokovin S.;"6507829773;23392413500;";Can a larger market foster R&D under monopolistic competition with variable mark-ups?;2017
Ushchev P.;"56003608300;";Multi-product firms in monopolistic competition: The role of scale-scope spillovers;2017
Piryatinska A., Darkhovsky B., Kaplan A.;"10040800700;6603906205;7402502542;";Binary classification of multichannel-EEG records based on the ϵ-complexity of continuous vector functions;2017
Bufetov A.I., Qiu Y.;"7801312296;56126019700;";Ergodic measures on spaces of infinite matrices over non-Archimedean locally compact fields;2017
Kogan K., Nikolenko S.I., Eugster P., Shalimov A., Rottenstreich O.;"8219662100;13608710100;16303930200;56048299300;24328397000;";Efficient FIB Representations on Distributed Platforms;2017
Shitov Y.;"35148401800;";Three remarks on spectra of zero–nonzero patterns;2017
Díez-Esteban J.M., García-Gómez C.D., López-Iturriaga F.J., Santamaría-Mariscal M.;"55575504700;57191410608;8410264500;36648127100;";Corporate risk-taking, returns and the nature of major shareholders: Evidence from prospect theory;2017
Smirnova A.S., Zavertiaeva M.A.;"57195137387;56964415100;";Which came first, CEO compensation or firm performance? The causality dilemma in European companies;2017
Savochkin I.V., Jäckl M., Belotelov V.I., Akimov I.A., Kozhaev M.A., Sylgacheva D.A., Chernov A.I., Shaposhnikov A.N., Prokopov A.R., Berzhansky V.N., Yakovlev D.R., Zvezdin A.K., Bayer M.;"55945449000;57194632769;6602192880;57218594185;55882077300;57190089825;57218189625;9739872200;36994043000;6602583679;7103294249;35482314600;7103096146;";Generation of spin waves by a train of fs-laser pulses: A novel approach for tuning magnon wavelength;2017
Barajas A., Shakina E., Fernández-Jardón C.;"35572693800;55266716300;6506804139;";Acceleration effect of intangibles in the recovery of corporate performance after-crisis;2017
Zelenkov Y., Fedorova E., Chekrizov D.;"6507092787;55584791316;57195033062;";Two-step classification method based on genetic algorithm for bankruptcy forecasting;2017
Shulgin S., Zinkina J., Korotayev A., Andreev A.;"55955365800;37039918300;7003940480;57192997540;";“Neighbors in values”: A new dataset of cultural distances between countries based on individuals’ values, and its application to the study of global trade;2017
Guan X., He X., Pardalos P.M., Zhang B.;"8878236300;57194876016;7005330875;8704188300;";Inverse max + sum spanning tree problem under Hamming distance by modifying the sum-cost vector;2017
Kovalyuk V., Ferrari S., Kahl O., Semenov A., Shcherbatenko M., Lobanov Y., Ozhegov R., Korneev A., Kaurova N., Voronov B., Pernice W., Gol'tsman G.;"35778256000;56594333800;56898793400;56879243200;56095501200;9333900400;8309839000;7006297830;6507396101;57200973381;16040560600;7006771637;";On-chip coherent detection with quantum limited sensitivity;2017
Chepyzhov V.V., Conti M., Pata V.;"6603478247;36763861500;7003787362;";Averaging of equations of viscoelasticity with singularly oscillating external forces;2017
Polishchuk A.;"7004476955;";Moduli spaces of nonspecial pointed curves of arithmetic genus 1;2017
Ossadtchi A., Shamaeva T., Okorokova E., Moiseeva V., Lebedev M.A.;"6603011121;57194602654;56951360200;6701491905;7102152073;";Neurofeedback learning modifies the incidence rate of alpha spindles, but not their duration and amplitude;2017
Petrosyants K.O., Kharitonov I.A., Lebedev S.V., Sambursky L.M., Safonov S.O., Stakhin V.G.;"6602577918;56711354200;57192575671;12141342300;56960118100;57192592505;";Electrical characterization and reliability of submicron SOI CMOS technology in the extended temperature range (to 300 °C);2017
Boros E., Elbassioni K., Gurvich V., Makino K.;"7004816459;8905985900;7006377323;7202528105;";A convex programming-based algorithm for mean payoff stochastic games with perfect information;2017
Bronzo S.;"55247426800;";Wittgenstein, Theories of Meaning, and Linguistic Disjunctivism;2017
Smolentseva A.;"55296173600;";Where Soviet and neoliberal discourses meet: the transformation of the purposes of higher education in Soviet and post-Soviet Russia;2017
Dragoy O., Akinina Y., Dronkers N.;"36522630700;55558819300;6603880631;";Toward a functional neuroanatomy of semantic aphasia: A history and ten new cases;2017
Getan A., Molchanov S., Vainberg B.;"57226595383;7004217928;6602473729;";Intermittency for branching walks with heavy tails;2017
Żemojtel-Piotrowska M., Piotrowski J.P., Cieciuch J., Adams B.G., Osin E.N., Ardi R., Bălţătescu S., Bhomi A.L., Clinton A., de Clunie G.T., Esteves C., Gouveia V., Hosseini A., Ghaheh H.S., Khachatryan N., Kamble S.V., Kawula A., Liik K., Letovancova E., Malo Cerrato S., Mora C.A., Nartova-Bochaver S., Nikolic M., Park J., Paspalanova E., Pék G., Różycka-Tran J., Truong Thi Khanh H., Tsubakita T., Vauclair C.-M., Włodarczyk A., Maltby J.;"56037356600;56037102200;57212056110;54584824900;35737831400;56743228600;36182821400;57191071822;21643181000;36630088400;57191073406;6603216095;56579836900;55787842300;56182003500;29467495900;57191073106;57189560574;57191071164;24076446300;56919302100;6508023786;57191070549;35109553100;6507863255;56037483300;56584738700;57191076828;56660616700;35590750600;55552921700;7101794635;";Measurement Invariance of Personal Well-Being Index (PWI-8) Across 26 Countries;2017
Gurvich E., Vakulenko E.;"56586707000;56538480700;";Macroeconomic and structural properties of the Russian labor market: A cross-country comparison;2017
Voskoboynikov I.B.;"55260862100;";Sources of long run economic growth in Russia before and after the global financial crisis;2017
Sedov E.A., Riikonen K.-P., Arutyunov K.Yu.;"57200071172;6507323506;6603572972;";Quantum size effect in single-crystalline bismuth nanorods;2017
Kaznadzey A., Shelyakin P., Gelfand M.S.;"55616007200;55921977000;7201803297;";Sugar Lego: Gene composition of bacterial carbohydrate metabolism genomic loci;2017
Adinolfi M., Archilli F., Baldini W., Baranov A., Derkach D., Panin A., Pearce A., Ustyuzhanin A.;"7103339969;23388515900;6603761822;56045705600;32667516700;57199848601;55912517500;55803484600;";LHCb data quality monitoring;2017
Borisyak M., Ratnikov F., Derkach D., Ustyuzhanin A.;"57000388300;35227881400;32667516700;55803484600;";Towards automation of data quality system for CERN CMS experiment;2017
Ustyuzhanin A., Head T., Babuschkin I., Tiunov A.;"55803484600;36739169300;57191280383;57199994670;";Everware toolkit. Supporting reproducible science and challenge-driven education.;2017
Borisyak M., Usvyatsov M., Mulhearn M., Shimmin C., Ustyuzhanin A.;"57000388300;57199864440;55150723600;57220501425;55803484600;";Muon Trigger for Mobile Phones;2017
Hushchyn M., Ustyuzhanin A., Alenkin O., Herwijnen E.V.;"57208118316;55803484600;57199864367;6506444126;";Track Pattern Recognition for the SHiP Spectrometer Tracker;2017
Hushchyn M., Ustyuzhanin A., Arzymatov K., Roiser S., Baranov A.;"57208118316;55803484600;57199854426;8670591800;56045705600;";The LHCb Grid Simulation: Proof of Concept;2017
Borisyak M., Ustyuzhanin A., Derkach D., Belous M.;"57000388300;55803484600;32667516700;57199834012;";Numerical optimization for Artificial Retina Algorithm;2017
Hushchyn M., Ustyuzhanin A., Charpentier P., Haen C.;"57208118316;55803484600;7102915062;49561337200;";GRID Storage Optimization in Transparent and User-Friendly Way for LHCb Datasets;2017
Derkach D., Kazeev N., Neychev R., Panin A., Trofimov I., Ustyuzhanin A., Vesterinen M.;"32667516700;57188677897;57199856336;57199848601;55366593800;55803484600;26425343500;";LHCb trigger streams optimization;2017
Zubkova E., An P., Kovalyuk V., Korneev A., Ferrari S., Pernice W., Goltsman G.;"57198350723;41861081500;35778256000;7006297830;56594333800;16040560600;7006771637;";Integrated Bragg waveguides as an efficient optical notch filter on silicon nitride platform;2017
Zolotov P.I., Divochiy A.V., Vakhtomin Yu.B., Morozov P.V., Seleznev V.A., Smirnov K.V.;"57191403728;22979146300;6505889206;57189463850;24173874200;22945547300;";Development of high-effective superconducting single-photon detectors aimed for mid-IR spectrum range;2017
Kovalyuk V., Ferrari S., Kahl O., Semenov A., Lobanov Yu., Shcherbatenko M., Korneev A., Pernice W., Goltsman G.;"35778256000;56594333800;56898793400;56879243200;9333900400;56095501200;7006297830;16040560600;7006771637;";Waveguide integrated superconducting single-photon detector for on-chip quantum and spectral photonic application;2017
Chuprikov P., Davydow A., Kogan K., Nikolenko S.I., Sirotkin A.V.;"57056336500;40660951100;8219662100;13608710100;55211091400;";Planning in compute-aggregate problems as optimization problems on graphs;2017
Kogan K., Menikkumbura D., Petri G., Noh Y., Nikolenko S., Sirotkin A., Eugster P.;"8219662100;57189500949;26667911700;36105411600;13608710100;55211091400;16303930200;";A programmable buffer management platform;2017
Khorov E., Krasilov A., Liubogoshchev M., Tang S.;"34869950000;36622962400;57200496493;57200504892;";SEBRA: SAND-enabled bitrate and resource allocation algorithm for network-assisted video streaming;2017
Melentiev P., Kalmykov A., Gritchenko A., Afanasiev A., Balykin V., Baburin A.S., Ryzhova E., Filippov I., Rodionov I.A., Nechepurenko I.A., Dorofeenko A.V., Ryzhikov I., Vinogradov A.P., Zyablovsky A.A., Andrianov E.S., Lisyansky A.A.;"10439005500;57190848792;57190835877;12789071100;57205858522;57196482753;57196480047;57197808724;56312380700;36680517000;9239835200;6602780638;7402889744;36635276500;54398274200;6603815630;";Plasmonic nanolaser for intracavity spectroscopy and sensorics;2017
Weigel M., Barash L.Yu., Borovský M., Janke W., Shchur L.N.;"7006594217;12765472700;36450169400;7102841112;56004933800;";Population annealing: Massively parallel simulations in statistical physics;2017
Demintseva E.;"56159061200;";Labour migrants in post-Soviet Moscow: patterns of settlement*;2017
Pelinovsky E., Didenkulova I., Shurgalina E., Aseeva N.;"7004951110;6505843700;36915865200;15847630900;";Nonlinear wave dynamics in self-consistent water channels;2017
Bondarenko V.M., Ilyin I.V., Korotayev A.V.;"56134365300;55893603600;7003940480;";Transition to a new global paradigm of development and the role of the united nations in this process;2017
Pedale T., Basso D., Santangelo V.;"56524477100;36466011800;8624582600;";Processing of negative stimuli facilitates event-based prospective memory only under low memory load;2017
Bilinkis J., Zueva A., Zaytseva E.;"57193203150;56184052100;55318347800;";Context-aware enterprise modelling towards agile models development;2017
Musabirov I., Bakhitova A.;"56543502400;57200294646;";Trajectories of student interaction with learning resources in blended learning. The case of data science minor;2017
Blank M.;"7202157224;";Ergodic averaging with and without invariant measures;2017
Stroganov P.L., Fominov Y.V.;"57211712506;6602541407;";Cooper pair splitting in ballistic ferromagnetic SQUIDs;2017
Rasskazova A., Potekhina K.;"57200282579;57200277613;";Influence of age of the borrower on demand of a consumer loan;2017
Albina R., Sergey R.;"57200282579;56962788000;";Principles of bank assistance to economic development;2017
Sizykh N., Pokusaev P., Sizykh D.;"57200283373;57200286498;55368026200;";A model for assessment the effectiveness of company management for decision-making by investors;2017
Gubarev M., Sirotin V.;"57200277534;57191847058;";The level and quality of life in Russia and the United States of America: A comparative analysis;2017
Sizykh D., Sizykh N.;"55368026200;57200283373;";Models of company's capital structure: Classification and analysis;2017
Iskhakova D., Arkhipova M.;"57200283375;57191839300;";Statistical analysis of inflationary process in Russia;2017
Romanov A., Romanova I., Ivannikov A.;"55372881400;55427298100;7006407136;";Application of exhaustive search, branch and bound, parallel computing and Monte-Carlo methods for the synthesis of quasi-optimal network-on-chip topologies;2017
Kharitonov I.A., Kharitonov I.A.;"56711354200;56711354200;";Electro-thermo-rad SPICE models for SOI/SOS MOSFETs;2017
Putikhin N., Kascheev N.;"57200260102;37461685100;";A heuristic to find initial values for stochastic local search in SAT using continuous extensions of Boolean formulas;2017
Petrosyants K.O., Sambursky L.M., Kharitonov I.A., Ismail-Zade M.R.;"6602577918;12141342300;56711354200;57190178214;";Generalized test automation method for MOSFET's including characteristics measurements and model parameters extraction for aero-space applications;2017
Kascheev N., Kozyrev O., Leykin M., Vanyagin A.;"37461685100;6602554401;57200256392;57200260564;";Non-invasive monitoring of blood glucose by means of wearable tracking technology;2017
Kuznetsov A.S., Smirnov K.V., Antonov M.Y., Nikolaev I.N., Efremov R.G.;"55428954100;57198426820;16400721900;36724953600;8308626600;";Molecular modeling of biomembranes and their complexes with protein transmembrane α-helices;2017
Lozin V., Malyshev D., Mosca R., Zamaraev V.;"57215473430;25522390800;7005971086;46161808500;";More results on weighted independent domination;2017
Akhmedova V., Takebe T., Zabrodin A.;"14832149800;7005898546;7004036132;";Multi-variable reductions of the dispersionless DKP hierarchy;2017
Lomazova I., Popova-Zeugmann L., Bartels A.;"6701413146;6505973677;57201824277;";Controlling boundedness for live petri nets;2017
Diveev A.I., Sofronova E.A., Shmalko E.Yu., Zhadnov V.V.;"6507267391;35776898200;57194220616;57190161122;";Automatic search of reliability function by symbolic regression;2017
Grantcharov G., Lejmi M., Verbitsky M.;"6602193096;15135978200;7004282961;";Existence of HKT metrics on hypercomplex manifolds of real dimension 8;2017
