Авторы;Идентификатор автора(ов);Название;Год
Gudkov Y.I., Azarov V.N., Tuv A.L.;"57200189724;57192588492;55505011400;";Fiber optic sensor for monitoring vibration load;2016
Rotkevich A.S., Kofanov Y.N.;"57192592293;6507341695;";Method of study mechanical and thermal processes of receiver-computer unit for unmanned aerial vehicles;2016
Kofanov Y.N., Sotnikova S.Y.;"6507341695;56703233000;";Sensitivity model of the set interdependent electrical, thermal and mechanical processes totality of electronic equipment to change of one of the internal parameters;2016
Azarov V.N., Batyrov U.D., Yakhutlov M.M.;"57192588492;6507838351;6506852320;";The basic requirements for the training of engineers in the change of technological structures;2016
Struminsky K., Kruglik S., Vetrov D., Oseledets I.;"57192574102;57192553698;8382687000;8529104000;";A new approach for sparse Bayesian channel estimation in SCMA uplink systems;2016
Rogozhnikov A.;"57193400414;";Reweighting with Boosted Decision Trees;2016
Likhomanenko T., Derkach D., Rogozhnikov A.;"56373473000;32667516700;57193400414;";Inclusive Flavour Tagging Algorithm;2016
Peltonen J.T., Peng Z.H., Korneeva Y.P., Voronov B.M., Korneev A.A., Semenov A.V., Gol'Tsman G.N., Tsai J.S., Astafiev O.V.;"15766156500;35187864100;36617215400;57200973381;7006297830;56879243200;7006771637;7403610308;6701441525;";Coherent dynamics and decoherence in a superconducting weak link;2016
Burmistrov I.S., Gornyi I.V., Kachorovskii V.Y., Katsnelson M.I., Mirlin A.D.;"8951092500;6603754221;6602822644;7006676202;7004286676;";Quantum elasticity of graphene: Thermal expansion coefficient and specific heat;2016
Novikov N., Gutkin B.;"57050150500;55884887100;";Robustness of persistent spiking to partial synchronization in a minimal model of synaptically driven self-sustained activity;2016
Cordeiro de Amorim R., Makarenkov V., Mirkin B.;"26967512400;35334891200;35428028600;";A-Wardpβ: Effective hierarchical clustering using the Minkowski metric and a fast k-means initialisation;2016
Taradina L., Yudkevich M.;"57195419943;25924090500;";Russia: Ranking fever - do we know the remedy?;2016
Smolentseva A.;"55296173600;";Participation and access in higher education in Russia: Continuity and change of a positional advantage;2016
Petrosyants K.O., Lebedev S.V., Sambursky L.M., Stakhin V.G., Kharitonov I.A.;"6602577918;57192575671;12141342300;57192592505;56711354200;";Temperature characterization of small-scale SOI MOSFETs in the extended range (to 300°C);2016
Plakhotnik M.S.;"36931179600;";Understanding social identity through autoethography: Building intercultural communication competencies in higher education classroom;2016
Kukharenko A.S., Yelizarov A.A.;"24484728700;7005491804;";Influence of metamaterial surface impedance on patch antenna coupling;2016
Buchin A., Chizhov A., Huberfeld G., Miles R., Gutkin B.S.;"36165097700;8276060500;10440613000;7201461059;55884887100;";Reduced efficacy of the KCC2 cotransporter promotes epileptic oscillations in a subiculum network model;2016
Slunyaev A.V., Pelinovsky E.N.;"11138998900;7004951110;";Role of multiple soliton interactions in the generation of rogue waves: The modified korteweg-de vries framework;2016
Tugin S., Hernandez-Pavon J.C., Ilmoniemi R.J., Nikulin V.V.;"37075819000;15832029900;7005857614;7007084310;";Visual deviant stimuli produce mismatch responses in the amplitude dynamics of neuronal oscillations;2016
Kasheverov I.E., Chugunov A.O., Kudryavtsev D.S., Ivanov I.A., Zhmak M.N., Shelukhina I.V., Spirova E.N., Tabakmakher V.M., Zelepuga E.A., Efremov R.G., Tsetlin V.I.;"6701702701;34569445900;55984322000;57214064476;7004300043;14045929200;56575035400;42662528500;6602654283;8308626600;7006181582;";High-Affinity α-Conotoxin PnIA Analogs Designed on the Basis of the Protein Surface Topography Method;2016
Brilliantov N.V., Budkov Y.A., Seidel C.;"7003803537;46861146000;7103092567;";Generation of mechanical force by grafted polyelectrolytes in an electric feld: Application to polyelectrolyte-based nano-devices;2016
Buchstaber V.M., Glutsyuk A.A.;"7004180276;6603503731;";On determinants of modified Bessel functions and entire solutions of double confluent Heun equations;2016
Vetter A., Ferrari S., Rath P., Alaee R., Kahl O., Kovalyuk V., Diewald S., Goltsman G.N., Korneev A., Rockstuhl C., Pernice W.H.P.;"57188632848;56594333800;55697852500;55010850900;56898793400;35778256000;55774140600;7006771637;7006297830;14033188600;16040560600;";Cavity-Enhanced and Ultrafast Superconducting Single-Photon Detectors;2016
Dodonova Y., Korolev S., Tkachev A., Petrov D., Zhukov L., Belyaev M.;"36631699700;36907781900;57210642928;57191332548;56962754300;57196947665;";Classification of structural brain networks based on information divergence of graph spectra;2016
Osipov G.S.;"7005282173;";Sign-based representation and word model of actor;2016
Wang B., Zhou Y., Ren H., Zhang Y., Liu P.;"34976038700;57193549736;36922267600;56926301000;57190174591;";Study on mechanism of MgO catalytic ozonation process for phenol degradation;2016
Slioussar N., Malko A.;"42162211500;57191480465;";Gender agreement attraction in Russian: Production and comprehension evidence;2016
Plakhotnik M.S., Rocco T.S.;"36931179600;23398565100;";Increasing Writing Self-Efficacy of Adult Learners: Different Approaches, Different Results;2016
Dragalina-Chernaya E.;"57196713458;";Kant's dynamic hylomorphism in logic;2016
Katrechko S.;"57195573068;";On kant's transcendental argument(s);2016
Popova S.A.;"55511923100;";General Secondary or Vocational Education: What do Ninth Grade Completers Choose?;2016
Kosaretsky S., Grunicheva I., Goshin M.;"15058987600;57192251715;12445570100;";Russian Education Policy From the Late 1980s Through the Early 2000s: Declarations and the Practical Impact on Inequality in K–12 Education;2016
Mamedli M.;"57191975956;";Government expenditure multiplier under the zero lower bound: The role of public investment;2016
Zhukova N.I.;"16308609800;";Typical Properties of Leaves of Cartan Foliations with Ehresmann Connection;2016
Rotmistrov A.N., Popova P.A.;"36613687000;57194007167;";How the Russian nationalist movement is splintered by Ukrainian Maidan? Identifying ideologyical determinants by means of empirical data & mixed methods;2016
Kapuza A.V., Tyumeneva Y.A.;"57194633131;12790872300;";Reliability and dimensionality of the talis scale of social desirability: Vidence from the item response theory;2016
Isupova O.G., Utkina V.V.;"55622966000;57194497368;";Women in the civil service in Russia: Career, family, reproductive intentions;2016
Strebkov D.O., Shevchuk A.V., Spirina M.O.;"35821606000;36009573400;57191359063;";Self-employment in the remote work market: Diffusion of innovative labor practice;2016
Dovbysh O.S., Gudova E.A.;"56554184600;57194499619;";Government information contracts and their importance for Russian regional media markets;2016
